"Year","Quarter ID","Quarter","Month ID","Month","Day","Time ID","Time","Nation ID","Nation","State ID","State","Accum Cases","Daily Cases","AVG 7 Days Accum Cases","AVG 7 Days Daily Cases","Rate Daily Cases","Rate Accum Cases","Days from 50 Cases","Style"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",30,"Veracruz de Ignacio de la Llave",15,1,6.285714149475098,2.142857074737549,0.011709790676832199,0.17564687132835388,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",7,"Chiapas",2,0,1.5714285373687744,0.1428571492433548,0,0.034901779145002365,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",12,"Guerrero",11,1,8,1.2857142686843872,0.027344459667801857,0.3007890582084656,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",20,"Oaxaca",5,1,2.857142925262451,0.4285714328289032,0.024133644998073578,0.12066822499036789,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",21,"Puebla",41,4,25.714284896850586,4.5714287757873535,0.06056521460413933,0.6207934617996216,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",30,"Veracruz de Ignacio de la Llave",16,1,8.571428298950195,2.2857143878936768,0.011709790676832199,0.18735665082931519,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",7,"Chiapas",2,0,1.7142857313156128,0.1428571492433548,0,0.034901779145002365,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",12,"Guerrero",12,1,9.428571701049805,1.4285714626312256,0.027344459667801857,0.3281335234642029,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",20,"Oaxaca",6,1,3.4285714626312256,0.5714285969734192,0.024133644998073578,0.14480186998844147,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",21,"Puebla",43,2,30.14285659790039,4.4285712242126465,0.030282607302069664,0.651076078414917,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",30,"Veracruz de Ignacio de la Llave",16,0,10.571428298950195,2,0,0.18735665082931519,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",7,"Chiapas",5,3,2.2857143878936768,0.5714285969734192,0.0523526668548584,0.08725444972515106,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",12,"Guerrero",13,1,10.714285850524902,1.2857142686843872,0.027344459667801857,0.3554779589176178,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",20,"Oaxaca",8,2,4.285714149475098,0.8571428656578064,0.048267289996147156,0.19306915998458862,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",21,"Puebla",51,8,35.42856979370117,5.285714149475098,0.12113042920827866,0.7722064852714539,1,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",30,"Veracruz de Ignacio de la Llave",20,4,13.142857551574707,2.5714285373687744,0.046839162707328796,0.23419582843780518,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",7,"Chiapas",5,0,2.857142925262451,0.5714285969734192,0,0.08725444972515106,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",12,"Guerrero",13,0,11.285714149475098,0.5714285969734192,0,0.3554779589176178,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",20,"Oaxaca",9,1,5.285714149475098,1,0.024133644998073578,0.2172027975320816,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",21,"Puebla",67,16,42.28571319580078,6.857142925262451,0.2422608584165573,1.0144673585891724,2,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",30,"Veracruz de Ignacio de la Llave",22,2,16,2.857142925262451,0.023419581353664398,0.25761541724205017,0,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",7,"Chiapas",7,2,3.5714285373687744,0.7142857313156128,0.034901779145002365,0.12215622514486313,0,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",12,"Guerrero",16,3,12.142857551574707,0.8571428656578064,0.08203338086605072,0.4375113546848297,0,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",20,"Oaxaca",12,3,6.714285850524902,1.4285714626312256,0.07240093499422073,0.28960373997688293,0,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",21,"Puebla",73,6,49.14285659790039,6.857142925262451,0.09084782004356384,1.1053152084350586,3,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",30,"Veracruz de Ignacio de la Llave",24,2,18.14285659790039,2.142857074737549,0.023419581353664398,0.2810349762439728,0,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",7,"Chiapas",7,0,4.285714149475098,0.7142857313156128,0,0.12215622514486313,0,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",12,"Guerrero",20,4,13.571428298950195,1.4285714626312256,0.10937783867120743,0.5468891859054565,0,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",20,"Oaxaca",15,3,8.428571701049805,1.7142857313156128,0.07240093499422073,0.36200466752052307,0,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",21,"Puebla",89,16,57.28571319580078,8.142857551574707,0.2422608584165573,1.3475760221481323,4,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",30,"Veracruz de Ignacio de la Llave",29,5,20.285715103149414,2.142857074737549,0.058548957109451294,0.3395839333534241,0,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",7,"Chiapas",12,5,5.714285850524902,1.4285714626312256,0.08725444972515106,0.2094106674194336,0,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",12,"Guerrero",23,3,15.428571701049805,1.8571428060531616,0.08203338086605072,0.6289225816726685,0,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",20,"Oaxaca",16,1,10.142857551574707,1.7142857313156128,0.024133644998073578,0.38613831996917725,0,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",21,"Puebla",98,9,66,8.714285850524902,0.13627173006534576,1.483847737312317,5,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",30,"Veracruz de Ignacio de la Llave",30,1,22.428571701049805,2.142857074737549,0.011709790676832199,0.35129374265670776,0,"solid"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",7,"Chiapas",13,1,7.285714149475098,1.5714285373687744,0.017450889572501183,0.22686156630516052,0,"solid"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",12,"Guerrero",26,3,17.571428298950195,2.142857074737549,0.08203338086605072,0.7109559178352356,0,"solid"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",20,"Oaxaca",17,1,11.857142448425293,1.7142857313156128,0.024133644998073578,0.41027194261550903,0,"solid"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",21,"Puebla",111,13,76,10,0.1968369483947754,1.6806846857070923,6,"solid"
